Wine,Grape sort,Year,Region,Country,Acetoine,Acetaldehyde,Methanol,1-propanol,Ethyl lactate,Isobutanol,1-butanol,2-butanol,2-methyl-1-butanol,3-methyl-1-butanol,2-methyl-1-propanol,1-pentanol,1-hexanol,"2,3-butanediol",2-phenylethanol,3-(Methylthio)-1-propanol,Hexyl acetate,Ethyl octanoate,Diethyl succinate,2-phenylethyl acetate,Diethyl malate,Ethyl decanoate,Isoamyl alcohol,Isoamyl acetate,1-heptanol,Ethyl acetate,Isopropyl acetate,Isobutyl acetate,Ethyl butyrate,Ethyl hexanoate,Ethyl isovalerate,Pentyl acetate,Phenyl acetate,Ethyl caprylate,alpha-TERPINEOL,Linalool ,Nerol,Citronellol,Geraniol,1-octanol,Hexanoic acid,Octanoic acid,Decanoic acid,Propanoic acid,butyric acid,2-methylpropanoic acid,2-methylbutyric acid,3-methylbutyric acid,Dodecanoic acid,DOI,Descriptors,Herbs and spices,Tobacco/Smoke,Wood,Berries,Citrus,Fruits,Nuts,Coffee,Chocolate/Cacao,Flowers
Torres Grans Muralles,"Garnacha Tinta, Garno, Sauso, Mazuelo",1998,Conca de Barbera,Spain,11.304,0,0,0,169.47,47.966,2.002,0,0,0,0,0,1.463,2.501,0,0,0,0.004,17.525,0,0,0.00041,257.993,0.156,0,31.5,0,0.043,0.075,0.076,0,0,0,0,0.013,0.002,0,0.0014,0,0,2.557,1.035,0.0928,3.02,0.44,0.67,0.089,1.86,0,10.1021/jf0636418,"exotic, blueberry jam, vanilla, smoke, incense and oak barrel, spices, pepper, cloves, thyme, ripe red berries - cranberries and red currants",1,1,0,1,0,1,0,0,0,0
Cims de Porrera Classic,"Carignan, Garnacha",1999, Priorat,Spain,16.55,0,0,0,146.478,89.67,2.502,0,0,0,0,0,1.18,0.237,0,0,0,0.0069,25.192,0,0,0.00082,277.139,0.221,0,37.267,0,0.057,0.094,0.1,0,0,0,0,0.013,0.0039,0,0.0026,0,0,1.031,0.546,0.359,3.112,0,2.037,0.234,0,0,10.1021/jf0636418,"red fruits and wild berries, underbrush, black pepper and balsamico",1,0,0,1,0,1,0,0,0,0
Tannat Amat,Tannat,2000,Rivera Province,Uruguay,55.9,0,0,0,462.5,28.7,1.999,0,0,0,0,0,0.78,0.69,0,0,0,0.0024,31.5,0,0,0.00066,112.8,0.12,0,66.6,0,0.04,0.069,0.029,0,0,0,0,0.017,0,0,0.0012,0.0032,0,2.73,1.91,2.43,8.45,0,3.14,0.225,1.67,0,10.1021/jf0636418,"alina, prunes, blackcurrant and oak, chocolate, vanilla and black pepper",1,0,1,1,0,0,0,0,1,0
Tannat Bouza,Tannat,2004,Montevideo Province,Uruguay,18.3,0,0,0,94,33.3,1.9,0,0,0,0,0,1.19,1,0,0,0,0.0033,6.24,0,0,0.00062,118.8,0.132,0,10.44,0,0.01,0.07,0.031,0,0,0,0,0.014,0,0,0.0066,0.00072,0,2.73,1.7,3.01,5.97,1.36,4.26,0.198,2.18,0,10.1021/jf0636418,"harmonious, notes of blackberry, cherry, sweet spices and herbs",1,0,0,1,0,0,0,0,0,0
Moss Wood,Cabernet Sauvignon,2006, Limestone Coast region,Australia,0,0,0,0,0.0164,0,0,0,0.0926,0.428,0.05,0,0,0,0.058,0,0.052,0.822,0,0,0,0.218,0,0,0,0.0485,0,0,0,0.708,0,0,0,0,0,0,0,0,0,0,3.482,3.588,0.76,0,0,2.363,0,0,0,10.1111/j.1755-0238.2012.00196.x," spices, tobacco leaves, red cherries and black stone fruits, black cloves and anise",1,1,0,1,0,0,0,0,0,1
Fox Creek,Cabernet Sauvignon,2006, Clare Valley region,Australia,0,0,0,0,0.0224,0,0,0,0.113,0.387,0.0543,0,0,0,0.107,0,0.005,0.362,0,0,0,0.077,0,0,0,0.0518,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,2.607,2.013,0.45,0,0,2.061,0,0,0,10.1111/j.1755-0238.2012.00196.x,,1,0,1,1,0,1,0,0,0,0
El Castro de Valtuille,Mencía,2008,Galicia, Spain,0.0126,0,0,0,0.0128,0,1.873,0,0,0,0.0311,0,1.077,0,0.040367,0,0,0.077,1.377,0.02,0,0.033,0.02002,0.107,0,0,0,0,0.08,0.057,0,0,0,0,0.0017,0.0037,0,0.01,0.0048,0,1.15,0.697,0,0,0.39,0.83,0.139,0.077,0,10.1016/j.aca.2012.01.026,"tones of spices, shades of pine, eucalyptus, cherries and blackberries",1,0,1,1,0,0,0,0,0,0
Les Corvees,Merenzao,2008,Galicia, Spain,4.833,0,0,0,3.383,0,4.213,0,0,0,0.0326,0,1.877,0,0.065037,0,0,0.09,0.7,0.068,0,0.035,0.208,0.437,0,0,0,0,0.097,0.11,0,0,0,0,0.0028,0.0036,0,0.0078,0.0052,0,1.18,0.503,0,0,0.577,1.18,0.144,0.085,0,10.1016/j.aca.2012.01.026,"Spicy, wet leaves, dried berries, hay, fresh raspberries, cherries, strawberries and cranberries",1,0,0,1,0,0,0,0,0,0
La Val,Souson,2008,Galicia, Spain,3.013,0,0,0,9.237,0,1.127,0,0,0,0.0376,0,1.213,0,0.058427,0,0,0.09,0.36,0.186,0,0.0428,0.2069,0.58,0,0,0,0,0.093,0.137,0,0,0,0,0.0023,0.0033,0,0.0024,0.0011,0,1.667,0.923,0,0,0.437,0.747,0.117,0.087,0,10.1016/j.aca.2012.01.026,"blackberries, cherries, black currants, spices, minerals and violet flowers",1,0,0,1,0,0,0,0,0,1
A Costina,Brancellao,2008,Galicia, Spain,2.727,0,0,0,5.433,0,2.797,0,0,0,0.02825,0,0.953,0,0.066953,0,0,0.169,0.947,0.065,0,0.062,0.2178,0.273,0,0,0,0,0.077,0.217,0,0,0,0,0.0079,0.011,0,0.0047,0.0021,0,1.067,0.52,0,0,0.447,0.873,0.158,0.078,0,10.1016/j.aca.2012.01.026,"red fruits, licorice, violet and almonds",1,0,0,0,0,1,1,0,0,0
Dominio do Bibei Lalama,Mouraton,2008,Galicia, Spain,2.59,0,0,0,7.653,0,2.913,0,0,0,0.02797,0,1.217,0,0.0978,0,0,0.073,0.367,0.0113,0,0.03,0.252,0.393,0,0,0,0,0.08,0.123,0,0,0,0,0.0065,0.0094,0,0.012,0.0059,0,1.27,0.553,0,0,0.587,0.853,0.141,0.063,0,10.1016/j.aca.2012.01.026,"milk chocolate, light belly tone, ripe wild berries, ripe cranberries, red cherries, lingonberries, pine",0,0,1,1,0,1,0,0,1,0
Casarena,Malbek,2013,Castilla-La Mancha,Spain,0,4.726,40.212,20.214,24.84,30.601,0.0151,0,47.421,165.32,0,0.0136,1.087,0.0425,17.383,0.0778,0.00792,0.245,0,0,0,0.0373,0,1.586,0,29.2,0,0.0414,0.0678,0.302,0.00213,0,0,0,0,0.00381,0.0214,0.00615,0.00578,0,1.521,1.456,0.485,0.00355,0.547,0,0,0,0,10.1016/j.foodres.2017.06.036,"flowers of violets, blackberries, blueberries, licorice, herbs and mocha, fresh strawberries, minerals, underbrush and leather",1,0,0,1,0,0,0,1,0,1
La Roche Mere,Malbek,2014,Castilla-La Mancha,Spain,0,5.745,39.32,15.2421,26.795,41.114,0.0149,0,64.001,195.35,0,0.0142,0.983,0.0301,16.773,0.0534,0.00641,0.189,0,0,0,0.0415,0,1.852,0.00789,36,0,0.0397,0.0832,0.397,0.00306,0,0,0,0,0.00633,0.0335,0.00894,0.0103,0,1.335,1.594,0.357,0.00324,0.425,0,0,0,0,10.1016/j.foodres.2017.06.036,"black currants, dried blueberries, red berries, cedar bark, figs and licorice",1,0,1,1,0,1,0,0,0,0
Progreso Premium Malbec,Malbek,2015,Castilla-La Mancha,Spain,0,5.134,40.545,14.845,20.572,40.214,0.0235,0,51.641,171.345,0,0.0132,0.902,0.0434,18.263,0.0584,0.00487,0.135,0,0,0,0.0265,0,1.35,0.0102,28.7,0,0.0426,0.0797,0.197,0.00358,0,0,0,0,0.00488,0.0284,0.00804,0.00996,0,1.204,1.245,0.504,0.00372,0.576,0,0,0,0,10.1016/j.foodres.2017.06.036,"red and dark fruits (blackberries, plums, Morello cherries), violets and mint",1,0,0,1,0,1,0,0,0,1
Rigal,Malbek,2016,Castilla-La Mancha,Spain,0,4.167,28.142,17.158,24.578,38.746,0.0211,0,46.445,177.678,0,0.0109,1.103,0.0436,21.53,0.0814,0.00613,0.153,0,0,0,0.0214,0,1.307,0,34.2,0,0.0402,0.0816,0.143,0.00356,0,0,0,0,0.00467,0.0276,0.00783,0.00975,0,1.274,1.315,0.341,0.0037,0.457,0,0,0,0,10.1016/j.foodres.2017.06.036,"Fruity aroma with tones of red berries, cherries and light notes of spices",1,0,0,1,0,1,0,0,0,1
Vinapena,Airen,1993,Castilla-La Mancha,Spain,0,29.9,101,25.2,3.34,32.5,0,0,30.8,177,0,0,1.3,0,18.2,0,0.04,0.79,0.92,0.76,0,0,0,0,0,47,0,0,0,0.58,0,2.05,0,0,0,0,0,0,0,0.26,3.35,5.65,1.35,0,0.85,0,0,0,0,10.1016/0308-8146(95)00207-3,"citrus, shades of green grass, yellow fruits and white flowers",1,0,0,0,1,1,0,0,0,1
Pampaneo,Airen,1992,Castilla-La Mancha,Spain,0,45.7,109,29,6.09,30.2,0,0,21.7,143,0,0,1.6,0,19.36,0,0,0.88,2.59,0.15,0,0,0,0,0,46.2,0,0,0,0.58,0,0.59,0,0,0,0,0,0,0,0.24,3.48,6.6,1.75,0,0.99,0,0,0,0,10.1016/0308-8146(95)00207-3,"crisp green apple and spices, floral and herbal tones, sea",1,0,0,0,0,1,0,0,0,1
Majano,Airen,1991,Castilla-La Mancha,Spain,0,18.4,107,32.1,4.86,27,0,0,32.65,173.16,0,0,1.25,0,21.5,0,0,0.87,4.62,0.16,0,0,0,0,0,40.8,0,0,0,0.6,0,1.2,0,0,0,0,0,0,0,0.22,3.71,6.63,1.49,0,1.01,0,0,0,0,10.1016/0308-8146(95)00207-3,"pure, apple and wildflowers, fresh, fruity",0,0,0,0,0,1,0,0,0,1
Levita,Airen,1990,Castilla-La Mancha,Spain,0,38.4,128,26.5,6.33,38.3,0,0,39.4,173,0,0,1.46,0,21.1,0,0,0.73,9.36,0.24,0,0,0,0,0,40.9,0,0,0,0.49,0,0.08,0,0,0,0,0,0,0,0.18,3.17,5.33,1.16,0,0.94,0,0,0,0,10.1016/0308-8146(95)00207-3,"nice, fresh, white flowers, banana and citrus fruits",0,0,0,0,1,1,0,0,0,1
Devin,Devin,2005,,Slovakia,0,0,0,0,0,81.26,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,295.757,0.15,0,0,0,0.048,0.16,0.24,0.0057,0,0,0,0,0.559,0,0.243,0.655,0,0,0,0,0,0,0,0,0,0,10.1021/jf0518397,"sulfhydric, gum/plastic, dirty, banana, apple, pear, ripe fruit, tropical fruit, citrus, herbaceous, fusel, winy, coffee, liquorice, meaty, cider, muscat, rosemary, basil, anise, caramel, peach",1,0,0,0,1,1,0,1,0,0
Acrata,Albillo,2006,Castilla-La Mancha, Spain,0,23.4,9.25,16.9,1.23,23.2,0,0,54.6,143,1.44,0,0,0,4.67,0,0.02,0.35,0.12,0.02,0,0.18,0,2.63,0,27.7,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,1.46,2.48,0.55,0,0.5,0,0,0,0,10.1016/j.foodchem.2006.08.033,"pears, dried apricots and grapefruit zest",0,0,0,0,1,1,0,0,0,0
Torrelanga,Albillo,2006,Castilla-La Mancha, Spain,0,19.3,25.9,16.5,1.09,20.1,0,0,45.4,105,1.39,0,0,0,5.41,0,0.03,0.79,0.14,0.03,0,0.26,0,3.66,0,21,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,2.13,3.4,1.01,0,0.56,0,0,0,0,10.1016/j.foodchem.2006.08.033,fruity notes with noble wood.,0,0,1,0,0,1,0,0,0,0
Las Moradas,Albillo,2006,Castilla-La Mancha, Spain,0,13.9,28.5,18.1,1.19,12.8,0,0,33.7,102,1.38,0,0,0,4.76,0,0.04,0.8,0.13,0.04,0,0.22,0,3.49,0,14.4,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1.85,3.35,0.79,0,0.76,0,0,0,0,10.1016/j.foodchem.2006.08.033,"quince jelly, pear, acacia honey, jasmine and orange blossom",0,0,0,0,1,1,0,0,0,1
Casa Massimo,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,1.86,474.22,5.1,1.33,0,237.98,20.37,10.61,0,0,0,0,0,52.79,0,0,0,0,0,0,0,0,0,0,1.76,3.21,0.62,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"tropical fruits, hints of mineral, almond, lime, grapefruit",0,0,0,0,1,1,0,0,0,0
Gatto Matto,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,1.94,357.77,4.43,1.24,0,207.53,14.66,8.25,0,0,0,0,0,54.28,0,0,0,0,0,0,0,0,0,0,0.64,4.04,0.17,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"refreshing aroma of peach, lemon, melon and almond",0,0,0,1,1,0,1,0,0,0
Rondone,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,1.59,434.08,5.49,1.41,0,233.57,16.44,8.94,0,0,0,0,0,46.09,0,0,0,0,0,0,0,0,0,0,1.55,2.75,0.46,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"ripe fruits (apple, pear, peach, citrus), herbs and white flowers",1,0,0,0,1,1,0,0,0,1
Ornato,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.71,374.84,6.67,1.23,0,171.79,19.36,8.43,0,0,0,0,0,57.65,0,0,0,0,0,0,0,0,0,0,0.66,1.56,0.17,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"citrus fruits, dry mineral",0,0,0,0,1,0,0,0,0,0
Il Faro,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,1.56,445.67,5.29,1.29,0,229.58,23.75,11.21,0,0,0,0,0,50.27,0,0,0,0,0,0,0,0,0,0,2.08,4.33,1.41,0,0,0,0,0,0,10.1007/s12161-008-9027-2,fruity and floral notes,0,0,0,0,0,1,0,0,0,1
Nadaria,Inzolia,2006,Sambuca di Sicilia, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,1.79,410.64,4.5,1.26,0,175.54,15.09,10.7,0,0,0,0,0,43.38,0,0,0,0,0,0,0,0,0,0,1.15,1.26,0.23,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"apple, pear, yellow plum, tropical fruits and white flowers",0,0,0,0,1,1,0,0,0,1
Costadune,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,2.54,343.72,3.32,3.16,0,263.75,6.61,15.12,0,0,0,0,0,47.95,0,0,0,0,0,0,0,0,0,0,2.43,7.5,2.28,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"peach, lemon, minerals and spring flowers, jasmine flowers and herbs, sourness",1,0,0,0,1,1,0,0,0,1
Bianca di Valguarnera,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,4.05,514.02,5.72,2.79,0,250.25,10.54,14.5,0,0,0,0,0,70.97,0,0,0,0,0,0,0,0,0,0,1.74,8.52,2.47,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"ripe fruits with yellow pulp, vanilla and dried fruits, smoke, graphite and sea",1,1,0,0,0,1,0,0,0,0
Nobilomo,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,3.39,257.18,3.81,1.9,0,228.87,6.96,14.41,0,0,0,0,0,53.57,0,0,0,0,0,0,0,0,0,0,2.44,6.94,2.42,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"apricot, wildflowers and almonds",0,0,0,0,0,1,1,0,0,1
Marchese Montefusco,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,2.71,360.63,3.88,2.23,0,204.48,6.02,13.48,0,0,0,0,0,58.33,0,0,0,0,0,0,0,0,0,0,2.21,6.31,2.39,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"jasmine, exotic fruits, citrus",0,0,0,0,1,1,0,0,0,1
Baglio del Sole,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,4.5,454.48,5.01,2.44,0,202.7,14.49,13.97,0,0,0,0,0,55.21,0,0,0,0,0,0,0,0,0,0,2.57,8.43,2.39,0,0,0,0,0,0,10.1007/s12161-008-9027-2,"apple, peach, apricot, banana, citrus and white flowers",0,0,0,0,1,1,0,0,0,1
Pollara,Inzolia,2006,Monreale, Italy,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,3.88,541.58,5.21,2.82,0,271.96,11.87,14.72,0,0,0,0,0,63.76,0,0,0,0,0,0,0,0,0,0,1.75,6.33,2.32,0,0,0,0,0,0,10.1007/s12161-008-9027-2,white stone fruits and spring flowers,0,0,0,0,0,1,0,0,0,1
Turo d'En Mota,Xarello,2006, Catalonia, Spain,0,41.03,39.01,22.78,9.01,23.81,0,0,0,0,0,0,2.04,0,6.32,0,0.5,4.32,3.22,0.23,0,0,189.53,2.34,0.15,62.01,0,0,0,3.66,0,0,0,0,0.022,0.05,0,0,0,0.11,3.05,10.38,3.97,0,0,0,0,0,0,10.1002/ffj.2038,"Intense, complex, fresh, refined, soft, dried apricot, jasmine, honeysuckle, lemon zest, ripe white fruit, toast, nuts and minerals",0,0,0,0,1,1,1,0,0,1
Anada de Baladina,Albarino,2008,Galicia, Spain,2.233,0,0,0,0.0184,0,0.497,0,0,0,0.01109,0,0.37,0,22.41,0,0,0.37,0.67,0.178,0,0.621,0.1007,0.637,0,0,0,0,0.16,0.327,0,0,0,0,0.0079,0.014,0,0.0024,0.004,0,4.467,2.737,0.713,0,0.923,0.687,0.084,0.062,0,10.1016/j.foodres.2013.07.036,"apple, green apple, pear, minerals, honey, saline, citrus, lemon, orange, cheese, banana, oil",0,0,0,0,1,1,0,0,0,0
Meu,Treixadura,2008,Galicia, Spain,4.987,0,0,0,5.863,0,0.543,0,0,0,9.673,0,0.37,0,14.663,0,0,0.473,0.373,0.136,0,0.802,0.088,1.13,0,0,0,0,0.193,0.41,0,0,0,0,0.0029,0.0048,0,0.0021,0.0066,0,5.52,3.85,1.103,0,0.83,0.473,0.08,0.06,0,10.1016/j.foodres.2013.07.036,"complex, exotic fruits, grapefruit, citrus zest, fresh herbs, mint and sweet spices",1,0,0,0,1,1,0,0,0,0
WooW,Torrontes,2008,Galicia, Spain,1.17,0,0,0,4.25,0,0.38,0,0,0,8.657,0,0.46,0,37.44,0,0,0.27,0.633,0.049,0,0.688,0.0993,0.21,0,0,0,0,0.137,0.208,0,0,0,0,0.0017,0.0045,0,0.0031,0.0015,0,3.85,2.913,0,0,0.717,0.457,0.133,0.067,0,10.1016/j.foodres.2013.07.036,"ripe stone fruits, peach, apricot, honey and vanilla",0,0,0,0,1,1,0,0,0,0
Vinos Singulares,Tempranillo,2014,Rioja, Spain,0,0,0,0,0,0,0,0,0,11.864,0.36,0,0.28,0,5.359,0,0.0619,2.792,0,0,0,0.796,0,9.449,0,0,0,0,0.483,1.483,0,0,0,0,0,0,0,0,0,0,1.798,5.308,1.82,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"white flowers, juicy apricot, honey, sweet pastries, hazelnuts, herbs and spices",1,0,0,0,0,0,1,0,0,1
Lar de Paula,Tempranillo,2014,Rioja, Spain,0,0,0,0,0,0,0,0,0,11.2,0.581,0,0.293,0,7.304,0,0,0.475,0,0,0,0.377,0,4.337,0,0,0,0,0,0.722,0,0,0,0,0,0,0,0,0,0,2.122,6.84,2.885,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"ripe fruits, herbs, wood and sweet spices",1,0,1,0,0,1,0,0,0,0
Campo Viejo,Tempranillo,2015,Rioja, Spain,0,0,0,0,0,0,0,0,0,23.103,0.603,0,0.651,0,7.442,0,0.333,2.029,0,0,0,0.606,0,11.769,0,0,0,0,0.44,0.836,0,0,0,0,0,0,0,0,0,0,1.941,7.739,2.468,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"Citrus, lemon, lime, pear, apple, melon, minerals, honey, stone, oak, vanilla, butter, cheese, banana, cream, grass, straw, hay, cherry, strawberry, red fruit, tropical, pineapple, mango, blackberry, blackcurrant, pepper, white pepper",1,0,1,1,1,1,0,0,0,0
Finca Tempranillo,Tempranillo,2015,Rioja, Spain,0,0,0,0,0,0,0,0,0,18.735,0.888,0,0.177,0,9.664,0,0.0525,1.816,0,0,0,0.276,0,6.004,0,0,0,0,0.461,0.799,0,0,0,0,0,0,0,0,0,0,0.846,2.235,1.248,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"red and black forest berries, violets, lilacs, balsamico, earthy notes, floral and berry shades",0,0,0,1,0,0,0,0,0,1
La Mateo,Tempranillo,2016,Rioja, Spain,0,0,0,0,0,0,0,0,0,29.72,1.17,0,0.148,0,14.096,0,0.0859,1.99,0,0,0,0.301,0,19.306,0,0,0,0,0.293,1.027,0,0,0,0,0,0,0,0,0,0,1.298,2.931,0.806,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"fiery, complex, peach, nectarine and grapefruit, floral, white chocolate and butter",0,0,0,0,1,1,0,0,1,0
Corimbo I,Tempranillo,2016,Rioja, Spain,0,0,0,0,0,0,0,0,0,27.718,1.117,0,0.375,0,8.355,0,0.11,1.01,0,0,0,0.117,0,7.731,0,0,0,0,0.664,0.581,0,0,0,0,0,0,0,0,0,0,1.143,3.457,0.797,0,0,0,0,0,0,10.1016/j.foodchem.2018.10.013,"sandalwood and cedar spices, black currant and prunes, balsamic, herbs and pine",1,0,1,1,0,0,0,0,0,0
